"Date","Price","Open","High","Low","Vol.","Change %"
"10/23/2017","67.590","67.730","67.740","67.422","","-0.21%"
"10/20/2017","67.730","67.909","68.033","67.671","","-0.26%"
"10/19/2017","67.909","67.730","68.206","67.730","","0.26%"
"10/18/2017","67.730","67.410","67.794","67.260","","0.47%"
"10/17/2017","67.410","67.600","67.630","67.380","","-0.28%"
"10/16/2017","67.600","67.612","67.743","67.196","","-0.02%"
"10/13/2017","67.612","68.220","68.261","67.548","","-0.89%"
"10/12/2017","68.220","68.604","68.610","68.220","","-0.56%"
"10/11/2017","68.604","68.478","68.652","68.255","","0.18%"
"10/10/2017","68.478","68.461","68.516","68.182","","0.03%"
"10/09/2017","68.461","68.280","68.635","68.280","","0.26%"
"10/06/2017","68.280","67.518","68.307","67.472","","1.13%"
"10/05/2017","67.518","67.872","67.872","67.275","","-0.52%"
"10/04/2017","67.872","68.055","68.063","67.670","","-0.27%"
"10/03/2017","68.055","67.930","68.296","67.907","","0.18%"
"10/02/2017","67.930","67.935","68.097","67.818","","-0.01%"
"09/29/2017","67.935","68.215","68.491","67.900","","-0.41%"
"09/28/2017","68.215","68.368","68.713","68.200","","-0.22%"
"09/27/2017","68.368","68.180","68.448","67.950","","0.28%"
"09/26/2017","68.180","68.220","68.448","67.847","","-0.06%"
"09/25/2017","68.220","68.652","68.660","68.000","","-0.63%"
"09/22/2017","68.652","69.147","69.226","68.650","","-0.72%"
"09/21/2017","69.147","69.110","69.377","68.930","","0.05%"
"09/20/2017","69.110","69.730","69.865","69.075","","-0.89%"
"09/19/2017","69.730","69.489","69.928","69.436","","0.35%"
"09/18/2017","69.489","68.866","69.492","68.617","","0.90%"
"09/15/2017","68.866","68.485","69.121","68.430","","0.56%"
"09/14/2017","68.485","68.891","68.891","68.176","","-0.59%"
"09/13/2017","68.891","69.027","69.432","68.660","","-0.20%"
"09/12/2017","69.027","68.409","69.095","68.382","","0.90%"
"09/11/2017","68.409","69.065","69.065","68.317","","-0.95%"
"09/08/2017","69.065","68.415","69.140","68.415","","0.95%"
"09/07/2017","68.415","68.420","68.655","68.137","","-0.01%"
"09/06/2017","68.420","68.571","68.703","68.310","","-0.22%"
"09/05/2017","68.571","68.832","69.068","68.217","","-0.38%"
"09/04/2017","68.832","68.219","69.005","68.219","","0.90%"
"09/01/2017","68.219","69.055","69.200","68.177","","-1.21%"
"08/31/2017","69.055","69.600","69.744","68.893","","-0.78%"
"08/30/2017","69.600","70.448","70.464","69.493","","-1.20%"
"08/29/2017","70.448","69.982","70.960","69.980","","0.67%"
"08/28/2017","69.982","69.811","70.144","69.600","","0.24%"
